Altium Designer Pick and Place Locations
D:\_ValoTec\_Projets\_Altium\ENU-MIC-PRO2\PCB_ENU-MIC-PRO2\Project Outputs for PCB_ENU-MIC-PRO2\Pick Place for PCB_ENU-MIC-PRO2_PCB.csv

========================================================================================================================
File Design Information:

Date:       10/06/19
Time:       18:14
Revision:   1030
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"C11","Capacitor","BottomLayer","0603-C","42.6875","33.6250","90","Capacitor"
"C10","Capacitor","BottomLayer","0603-C","51.0125","29.0000","90","Capacitor"
"C9","Capacitor","BottomLayer","0603-C","49.5875","29.0000","90","Capacitor"
"C8","Cap","BottomLayer","0603-C","47.3000","19.2750","90","Capacitor"
"C7","Cap","BottomLayer","0603-C","45.8500","19.2750","90","Capacitor"
"C6","Cap","BottomLayer","0603-C","39.0501","20.7750","270","Capacitor"
"C5","Cap","BottomLayer","0603-C","37.6251","20.7750","270","Capacitor"
"C4","Capacitor","TopLayer","0603-C","47.5760","29.7680","270","Capacitor"
"C3","Capacitor_Pol","TopLayer","Tantal_A","49.3250","28.9920","270","Polarized Capacitor"
"C2","Capacitor","TopLayer","0603-C","54.2550","32.6500","360","Capacitor"
"C1","Capacitor_Pol","TopLayer","Tantal_A","55.0260","30.8500","360","Polarized Capacitor"
"P7","Header 7","TopLayer","78171-5007","53.5876","-1.2613","360","Header, 7-Pin"
"P2","Header 6","TopLayer","78171-5006","14.6250","13.3750","360","Header, 6-Pin"
"R75","Resistor","TopLayer","0603-R","37.0520","8.6480","270","Resistance"
"R92","Resistor","BottomLayer","0603-R","43.7360","11.3000","360","Resistance"
"R93","Resistor","BottomLayer","0603-R","46.7750","-1.6750","360","Resistance"
"R94","Resistor","BottomLayer","0603-R","26.7800","20.1080","180","Resistance"
"R95","Resistor","BottomLayer","0603-R","46.7750","-0.1000","180","Resistance"
"R96","Resistor","BottomLayer","0603-R","26.7800","18.8120","360","Resistance"
"R97","Resistor","TopLayer","0603-R","35.7320","12.2550","90","Resistance"
"U15","ESP32-WROOM-32","TopLayer","Esp32-wroom-32","49.4650","15.9520","270","SMD MODULE, ESP32-D0WDQ6, 32MBIT"
"R71","","TopLayer","0603-R","2.9120","25.4000","270","Resistance"
"P8","Pad","TopLayer","PAD_ELCT_2.5mmx1.5mm","47.0000","34.0000","90",""
"R99","","TopLayer","0603-R","18.5000","20.4500","90","Resistance"
"R98","","TopLayer","0603-R","23.9250","3.7000","90","Resistance"
"D1","RED","BottomLayer","WL-SMCW_0805","13.2250","21.5500","90","LED"
"D2","Green","BottomLayer","WL-SMCW_0805","14.8000","21.5500","90","LED"
"Q2","MOSFET-N","TopLayer","SOT23-3N","21.1000","3.5750","180","MOSFET-N"
"Q3","MOSFET-N","TopLayer","SOT23-3N","15.5250","20.4250","180","MOSFET-N"
"R20","Resistor","BottomLayer","0603-R","13.2250","24.6750","90","Resistance"
"R21","Resistor","BottomLayer","0603-R","14.7866","24.6750","90","Resistance"
"U17","MP34DT06J","TopLayer","HCLGA_3_x_4","31.1067","45.4970","90","MEMS audio sensor omnidirectional digital microphone"
"R18","Resistor","BottomLayer","0603-R","35.3567","44.6720","270","Resistance"
"P5","Header 4","BottomLayer","53290-0480","30.9877","48.5220","360","Header, 4-Pin"
"C69","Cap","BottomLayer","0805-C","31.3317","43.4470","180","Capacitor"
"C67","Capacitor","BottomLayer","0603-C","27.2067","44.5470","90","Capacitor"
"U12","MP34DT06J","BottomLayer","HCLGA_3_x_4","55.7750","17.7155","90","MEMS audio sensor omnidirectional digital microphone"
